q_sim,chi_eff_sim,chi_eff_90cl
3.205199095784811436e-01,-1.078695389131090615e-01,4.753303679459464082e-01
6.525270932587555750e-01,-5.690092833787414872e-02,2.731103589225619688e-01
6.372766045868916152e-01,3.155616869125718593e-01,1.621351336987437719e-01
9.903524338542899486e-01,3.576556261229544842e-01,1.209096770243788255e-01
8.610107142950315096e-01,-2.999454308519317047e-01,4.177113584364973153e-01
9.624912076484759549e-01,-1.837510104767302033e-01,3.600148204315909428e-01
3.069738031518667865e-01,2.640988921519669130e-01,2.195231818297988802e-01
1.675145981244962057e-01,1.151302724603263938e-01,4.428756407688828611e-01
3.993265000058534575e-01,5.010581647365112135e-01,1.356294695593145971e-01
3.580695895359176095e-01,3.683909991322174560e-01,1.601453462668788186e-01
8.656548945688710139e-01,4.012167919301624086e-01,1.465028745042515901e-01
8.683106794785641069e-01,-5.457728427461796539e-01,3.291538435668002194e-01
4.244503102733643285e-01,1.928064787969280824e-01,2.253012673382390751e-01
2.202915979555929993e-01,1.022043711311395875e-01,4.436913774090545104e-01
4.450192138731443592e-01,6.308885170149597377e-02,3.116076637247823244e-01
6.201262058430910828e-01,2.198039158922913960e-01,1.449654813946572030e-01
4.635422042513520080e-01,-1.421797985630092812e-02,3.240520906042221316e-01
7.659616865449617729e-01,-1.051659292243334598e-01,2.704874005836377382e-01
5.675638970953945650e-01,5.239575690618308162e-02,2.749765837869880269e-01
6.261769864983802725e-01,2.982952687492885224e-01,2.078179479627781656e-01
5.376519014984313394e-01,-2.742061327751256217e-01,5.018240853824120773e-01
7.709770661382742141e-01,-2.206503835564731508e-01,2.495298685737854238e-01
3.089003063094522550e-01,2.704697246760919827e-01,2.085812347763149055e-01
3.635296083243864662e-01,-1.080871940239767903e-02,3.216901221865676175e-01
2.875377069143345010e-01,-5.829271264157331184e-02,4.661194716195694587e-01
8.202810232400539192e-01,-2.440432888773753223e-02,1.353572348000012249e-01
1.488578992742993490e-01,3.847073508379088985e-02,5.232559574520184720e-01
2.061155026945286350e-01,2.813359724851090538e-01,1.979867652962168656e-01
8.281572722071880444e-01,3.846419346962744873e-02,2.130415876949967036e-01
7.690019161601848730e-01,1.870892621437887926e-01,2.273554892536205907e-01
7.126811991366699406e-01,1.422258340150608057e-02,1.914348607907647160e-01
4.790442118337253086e-01,3.708181318906985102e-01,1.765337998801666530e-01
9.064101273981082230e-01,-3.233172302849733337e-01,4.881098438243247073e-01
9.422585045420224237e-01,1.226974373554680364e-01,2.995437717930169441e-01
4.863022007250717982e-01,2.443733555110128297e-01,2.147403626730416959e-01
8.233153583550354426e-01,1.781667908585058968e-01,1.808363920882112563e-01
8.294105633555253210e-01,-2.774321434717326174e-01,3.797541357957983088e-01
6.577286542725333529e-01,-1.815332925463202240e-01,3.226424375953913515e-01
4.658704938925428141e-01,1.987473829583562002e-01,1.843593273226338813e-01
5.427058986817048236e-01,-1.419926875324820092e-01,3.620810150861480947e-01
8.536862090489913957e-01,-1.967541606399634754e-02,2.472574483750092922e-01
9.388506707469899126e-01,1.284437159763622202e-02,2.269963078096641496e-01
5.098308996806584226e-01,4.905335962622938140e-01,3.458549881110023483e-02
5.333039922037150493e-01,4.186426530733855511e-01,1.394262632641766753e-01
4.547695206342465268e-01,-4.348916656229612765e-01,6.733371418081905979e-01
5.760942867725485916e-01,2.727634429488485224e-01,1.756820523814288382e-01
2.265424930540185788e-01,-3.575692923064236611e-02,5.863017933565115580e-01
4.007910085608213935e-01,1.554954410755438332e-01,2.372168284479232170e-01
3.851442986380180789e-01,-5.389800522497439905e-02,3.992659862045547792e-01
2.932571963423327155e-01,5.363053575995035960e-01,9.287720534594146038e-02
2.691577027184705595e-01,1.109789076507806532e-01,3.809680744665555063e-01
3.248420989051608587e-01,-2.977786217190571405e-02,4.271742843687094116e-01
2.382891962347844506e-01,-1.121818136537515581e-01,5.726484648945964206e-01
7.568022178464076655e-01,-1.731066074477174144e-01,3.248983584095966881e-01
2.803429014964607391e-01,7.664060686293983071e-02,3.479964531577853792e-01
3.629101994442634482e-01,-4.627254805971554030e-01,4.615778733019284541e-01
2.358680999930847233e-01,7.309864937349391800e-01,2.276777893082937432e-02
9.875096017732573062e-01,-3.002706812696921967e-01,4.470815142984133628e-01
8.850510150224523143e-01,4.344614678073329683e-01,1.380359353175888981e-01
7.652556910090447806e-01,2.212265787591929656e-01,2.302466504242222656e-01
7.756849830864784856e-01,-3.029256235039660683e-01,3.755916755035129118e-01
9.397677089998848210e-01,-3.500657973912242316e-01,4.597122881759177493e-01
4.299370873175066277e-01,5.882075341297823834e-02,2.957829750829866766e-01
8.331473144178646040e-01,4.799694498444502522e-02,2.201823496374404054e-01
4.892513189702878962e-01,3.438385586733171961e-01,2.068480182373426679e-01
2.602304972977639852e-01,-9.693597772709680593e-02,5.515993863656797336e-01
1.994822973656520115e-01,-1.662614907948732068e-01,6.018565802002704412e-01
5.292325281838263784e-01,-3.479074914208605263e-01,3.129860670145541146e-01
2.795263019764880896e-01,5.301739974049022308e-01,1.166273451282048845e-01
7.013700788741972225e-01,-2.064486143355770409e-01,3.498471735874418842e-01
2.972706065644487583e-01,1.034683999522244546e-01,3.939516998504010714e-01
3.751330010010192617e-01,3.777415668570133223e-01,1.667070506690183085e-01
4.032764953404368025e-01,-1.941157413525772812e-01,4.266439670835722731e-01
1.543311022526517029e-01,-4.783844618602782484e-02,5.767524241385971751e-01
4.182212968028757305e-01,3.880584792479407213e-02,2.859948904656813840e-01
2.425728947850507855e-01,-6.407521149359147739e-01,4.788370967479243512e-01
6.986588261677484368e-01,2.984898062530028096e-01,1.241699621374570683e-01
6.264065979240083237e-01,-3.760049286929449674e-02,3.106184078225122103e-01
6.753438132173050779e-01,3.773022166480830553e-01,1.372560401768641025e-01
9.136325666627304054e-01,-4.009522607314180281e-02,2.681736227251497739e-01
4.485294047561176889e-01,2.075667827412762956e-01,2.834076612999828493e-01
8.526204030407485979e-01,-1.558667802217940553e-02,3.644793171506980900e-01
2.657362984337562350e-01,1.142296901612409495e-02,4.403488647422852953e-01
7.948484050186962468e-01,-1.813968279397313865e-01,2.304539690149010056e-01
5.887963066533856704e-01,2.363238110599407901e-02,3.073238313814582456e-01
4.928532059619410988e-01,5.131156939130511185e-01,1.197077356559990702e-01
2.600013016649178055e-01,-9.909984803530900999e-02,4.798619360539528311e-01
3.163768025537825879e-01,-7.008364384784878005e-03,3.871186040455258937e-01
3.546149939339225954e-01,3.393641702321132936e-01,2.278398965587438985e-01
3.992404061365632528e-01,3.842517986897202587e-01,2.238459993990319641e-01
1.395081031081620848e-01,8.716698829830055173e-02,5.023433843908993168e-01
5.207488978184928730e-01,2.128053691708744477e-01,2.474866035152016308e-01
7.764592075530141191e-01,-7.753260037255692294e-02,2.629963226486459194e-01
5.598926976790098431e-01,1.780108742760329321e-01,1.903711912695271735e-01
9.939856838688128082e-01,2.017591868527506827e-01,2.319402356714132807e-01
1.003347967098052740e-01,1.956674892943309207e-01,7.706410702707069404e-01
2.857414985327416668e-01,-6.463894544309956025e-02,3.501899379671507551e-01
2.123632019342774069e-01,5.959327083968091882e-02,4.905913754837953888e-01
2.114634986414641038e-01,1.046961327394533986e-01,5.180886078813339291e-01
1.170869050192666905e-01,-2.450763134903526375e-01,2.099382306749758009e-01
3.946194004329316996e-01,-3.265268148033981799e-01,4.576149930442647285e-01
5.948744072837921504e-01,-3.665158945443461880e-01,4.842477180123213043e-01
3.597227009544545218e-01,9.086774217012708738e-03,3.305406935019533643e-01
4.195692059338015367e-01,1.700745845594930361e-01,2.315975583806304805e-01
8.847201929958204980e-01,4.331786548762016353e-02,2.901152925268785654e-01
6.920049635609404337e-01,2.838283704322226986e-01,1.858721555078976795e-01
9.815998464331991968e-01,4.820105404761560464e-01,1.344065905578353259e-01
4.674416043175263491e-01,-2.956467698603967159e-02,3.332033605436813817e-01
6.788359084267484578e-01,2.355525771836124715e-01,1.676133292278182974e-01
7.322546094285949936e-01,-3.561015687637780203e-01,4.599694835767892953e-01
3.248891999769467631e-01,7.621238332010782379e-02,2.942326504177784630e-01
9.383639431990290491e-01,-3.374134998585710532e-01,4.139465982264269317e-01
8.652154176149886577e-01,4.900332120627041710e-01,1.000642831453519288e-01
7.856957830493871420e-01,2.545127387580179423e-01,1.962194562944178100e-01
8.939541941528239555e-01,1.195221453791906058e-01,1.778123182052744333e-01
7.652089056540910539e-01,-6.157145671916569585e-02,2.315748175393328445e-01
9.187461501715143974e-01,-1.026347150758977894e-01,2.435059386382559254e-01
2.172409067835574248e-01,-6.280434385029619593e-01,3.432546992185169232e-01
2.588323090444745178e-01,-2.538213029437574320e-01,6.824214222003306407e-01
9.798162373851483364e-01,-1.080401340475845157e-01,2.452898674633591236e-01
9.351580962452720192e-01,-6.837929779571412167e-03,2.182083696133544914e-01
1.969711992635548858e-01,1.060925769089377663e-01,4.778341516937151257e-01
4.408148956460695711e-01,-9.126509201738366994e-02,3.740442558103482806e-01
8.350378210784992206e-01,3.907611102934157588e-01,1.369449251219681529e-01
3.078324996993802021e-01,-1.233419489794080476e-02,4.058439933542381528e-01
6.693826401126690140e-01,2.746167613601858612e-02,2.418769607623321161e-01
3.251956087050986710e-01,-1.495099472108785688e-01,2.989157482390198961e-01
1.639185011747474607e-01,2.826798116093434121e-01,3.869728365751873289e-01
9.602579926163930246e-02,4.284477979962706407e-01,3.468219423880104513e-01
4.837586978424681661e-01,-1.969969904795876026e-01,3.888324602263557583e-01
9.626345027823459688e-01,-5.603894375471244610e-02,2.998277607576942394e-01
3.279323903883113456e-01,-2.519080337204603337e-01,4.201280526522228609e-01
4.335745104932600125e-01,4.644313053492808430e-01,1.710130055479836542e-01
1.486166988557448554e-01,3.965590976368855713e-01,2.797138075091931686e-01
5.733668971645308199e-01,1.443736761813136371e-01,2.924678492124627160e-01
9.516742038518398727e-01,-1.273094283839484586e-01,4.869771962371772789e-01
1.489822965383025832e-01,7.306096300063617821e-02,2.638587124422095975e-01
7.428954844706383565e-01,-3.019140678188269034e-01,3.090855185941718264e-01
9.060194566849294473e-01,-1.320996377810269018e-01,2.214832760875480588e-01
4.873720989730934705e-01,2.340503383802447213e-01,2.543241263213630310e-01
4.380088971225921668e-01,-2.120400518360572497e-03,2.567088729324626395e-01
3.563122910073810989e-01,4.154205278539737090e-01,1.990922165737609717e-01
7.536517815658355657e-01,-1.987128590433949894e-03,2.381452441928432473e-01
8.081094219414455271e-01,1.104623476683646438e-01,1.591232708605803681e-01
6.397684298964038119e-01,5.083790670625655539e-02,2.426454668497463885e-01
1.621731008765544824e-01,1.894135695094056882e-01,4.650033927741484274e-01
7.571971170645617200e-01,-1.332446133369787067e-01,2.641108640406272245e-01
1.008495001487930837e-01,-4.245417760703514842e-01,5.320515676122206106e-01
6.866652263170132109e-01,1.009820370441090603e-01,2.551160896010523094e-01
1.856492964614494812e-01,-1.436596209588571552e-02,6.063217227780071106e-01
5.140202943432800042e-01,3.857557793623050957e-01,1.194559271429974645e-01
9.466127922761629065e-01,-3.228226688001266664e-01,4.225419181921928891e-01
5.678393952093166996e-01,-3.024185928291512893e-01,3.619893044998689913e-01
