# fi,prior,high,flat,low
6.406406406406406351e-02,1.000000000000000000e+00,7.763853295385327339e-04,1.301516996570747237e-02,8.074205492437719345e-02
6.506506506506506970e-02,1.000000000000000000e+00,8.077682777738642893e-04,1.327940384345834522e-02,8.159262884647974778e-02
6.606606606606606202e-02,1.000000000000000000e+00,8.403750128194371113e-04,1.355128730126442180e-02,8.249306147683327373e-02
6.706706706706706822e-02,1.000000000000000000e+00,8.723328035606528821e-04,1.382789785327882132e-02,8.333210575337333947e-02
6.806806806806806054e-02,1.000000000000000000e+00,9.056046948788365036e-04,1.409878207342557706e-02,8.426225790157869378e-02
6.906906906906906674e-02,1.000000000000000000e+00,9.396821494982141075e-04,1.437141553983138642e-02,8.514806789084286565e-02
7.007007007007007293e-02,1.000000000000000000e+00,9.748510993385383662e-04,1.464543188804019735e-02,8.603408381106622538e-02
7.107107107107106525e-02,1.000000000000000000e+00,1.011810148104631780e-03,1.492031770036428631e-02,8.692334538614433781e-02
7.207207207207207145e-02,1.000000000000000000e+00,1.048526059207516422e-03,1.521006332856338072e-02,8.781495146094288329e-02
7.307307307307307764e-02,1.000000000000000000e+00,1.087967702969959817e-03,1.551389771897560693e-02,8.875045192841145292e-02
7.407407407407406996e-02,1.000000000000000000e+00,1.126012003389400542e-03,1.580644593738196949e-02,8.967398312650333436e-02
7.507507507507507616e-02,1.000000000000000000e+00,1.165874975950935422e-03,1.610155523770674321e-02,9.058945525940709231e-02
7.607607607607608236e-02,1.000000000000000000e+00,1.207332818394544170e-03,1.640928959637623710e-02,9.154491229294031696e-02
7.707707707707707467e-02,1.000000000000000000e+00,1.249007990168075682e-03,1.671604016720948729e-02,9.247182181488890207e-02
7.807807807807808087e-02,1.000000000000000000e+00,1.291259009070380845e-03,1.702437508202266081e-02,9.340850831754200778e-02
7.907907907907907319e-02,1.000000000000000000e+00,1.336490057154709208e-03,1.734162354995134186e-02,9.435567134159032754e-02
8.008008008008007939e-02,1.000000000000000000e+00,1.380479669491192513e-03,1.766093089328265794e-02,9.534402695846520837e-02
8.108108108108108558e-02,1.000000000000000000e+00,1.425016433031967575e-03,1.796588001053799066e-02,9.630576888412095693e-02
