chieff,p_iso_flat,p_ali_flat,p_iso_high,p_ali_high,p_iso_low,p_ali_low
-0.891,0.0009999999999999992,0,0.0027999999999999974,0,0,0
-0.89,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.889,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.888,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.887,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.886,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.885,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.884,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.883,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.882,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.881,0.0007999999999999993,0,0.0029999999999999975,0,0,0
-0.88,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.879,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.878,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.877,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.876,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.875,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.874,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.873,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.872,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.871,0.0017999999999999984,0,0.005199999999999995,0,0,0
-0.87,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.869,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.868,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.867,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.866,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.865,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.864,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.863,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.862,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.861,0.0019999999999999983,0,0.007299999999999993,0,0,0
-0.86,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.859,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.858,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.857,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.856,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.855,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.854,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.853,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.852,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.851,0.0017999999999999984,0,0.007199999999999994,0,0,0
-0.85,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.849,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.848,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.847,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.846,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.845,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.844,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.843,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.842,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.841,0.002199999999999998,0,0.009199999999999991,0,0,0
-0.84,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.839,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.838,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.837,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.836,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.835,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.834,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.833,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.832,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.831,0.004599999999999996,0,0.011599999999999989,0,0,0
-0.83,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.829,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.828,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.827,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.826,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.825,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.824,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.823,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.822,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.821,0.004999999999999996,0,0.013699999999999988,0,0.0002999999999999997,0
-0.82,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.819,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.818,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.817,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.816,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.815,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.814,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.813,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.812,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.811,0.0051000000000000515,0,0.015600000000000159,0,0.00010000000000000102,0
-0.81,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.809,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.808,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.807,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.806,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.805,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
-0.804,0.005299999999999995,0,0.02029999999999998,0,9999999999999991e-20,0
