chieff,FI,FA,HI,HA,LI,LA,FI0p5,FA0p5,HI0p5,HA0p5,LI0p5,LA0p5
-0.345,0.5832000000000027,0,0.7093000000000034,0,0.28670000000000134,0,0.5460000000000026,0,0.7162000000000034,0,0.30760000000000143,0
-0.344,0.5832000000000027,0,0.7093000000000034,0,0.28670000000000134,0,0.5460000000000026,0,0.7162000000000034,0,0.30760000000000143,0
-0.343,0.5832000000000027,0,0.7093000000000034,0,0.28670000000000134,0,0.5460000000000026,0,0.7162000000000034,0,0.30760000000000143,0
-0.342,0.5832000000000027,0,0.7093000000000034,0,0.28670000000000134,0,0.5460000000000026,0,0.7162000000000034,0,0.30760000000000143,0
-0.341,0.5832000000000027,0,0.7093000000000034,0,0.28670000000000134,0,0.5460000000000026,0,0.7162000000000034,0,0.30760000000000143,0
-0.34,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.339,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.338,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.337,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.336,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.335,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.334,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.333,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.332,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.331,0.6125999999999995,0,0.7477999999999994,0,0.3287999999999997,0,0.5754999999999995,0,0.7454999999999993,0,0.34379999999999966,0
-0.33,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.329,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.328,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.327,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.326,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.325,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.324,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.323,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.322,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.321,0.6304999999999994,0,0.7516999999999994,0,0.3490999999999997,0,0.6096999999999995,0,0.7540999999999993,0,0.3631999999999997,0
-0.32,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.319,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.318,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.317,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.316,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.315,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.314,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.313,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.312,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.311,0.6623999999999994,0,0.7891999999999992,0,0.37969999999999965,0,0.6198999999999995,0,0.7727999999999993,0,0.3909999999999996,0
-0.31,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.309,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.308,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.307,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.306,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.305,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.304,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.303,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
-0.302,0.7143999999999994,0,0.8112999999999992,0,0.4390999999999996,0,0.6565999999999994,0,0.8163999999999992,0,0.41919999999999963,0
